                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.67811,                0.42266,                0.94829,                0.87615,                0.83456,                0.88458,                0.53999,                 1.3158,                0.72716,                 1.5246,               0.008812,               0.008812,               0.008812
                     38,                0.66976,                0.41017,                0.95233,                 0.9186,                0.78141,                 0.8568,                0.54713,                 1.3114,                 0.7699,                 1.5064,               0.008779,               0.008779,               0.008779
                     39,                  0.675,                0.41635,                  0.954,                 0.8976,                0.79793,                 0.8531,                0.53713,                  1.318,                0.78907,                 1.5246,               0.008746,               0.008746,               0.008746
                     40,                0.68215,                0.41969,                0.95664,                 0.9152,                0.78427,                0.84444,                0.51986,                 1.3842,                0.78097,                 1.5094,               0.008713,               0.008713,               0.008713
                     41,                0.67941,                0.42345,                0.94345,                0.88793,                0.81119,                0.84448,                0.52419,                 1.3258,                0.76768,                 1.4988,                0.00868,                0.00868,                0.00868
                     42,                0.68107,                0.40953,                0.94695,                0.89276,                0.78779,                0.84139,                 0.5215,                 1.3094,                0.78097,                 1.4885,               0.008647,               0.008647,               0.008647
                     43,                 0.6802,                0.41997,                0.94825,                0.88832,                0.79335,                0.83805,                0.51878,                 1.3151,                0.76171,                 1.4961,               0.008614,               0.008614,               0.008614
                     44,                0.65541,                  0.399,                 0.9506,                0.86849,                 0.8005,                0.84308,                0.52571,                 1.2837,                0.73778,                 1.4688,               0.008581,               0.008581,               0.008581
                     45,                0.68272,                0.42055,                0.94664,                0.83699,                0.82607,                 0.8365,                0.51053,                 1.3197,                0.75514,                 1.5277,               0.008548,               0.008548,               0.008548
                     46,                0.66356,                0.41113,                 0.9545,                 0.8431,                0.79645,                0.82825,                0.52274,                  1.294,                0.72709,                 1.5325,               0.008515,               0.008515,               0.008515
                     47,                0.66049,                0.40068,                0.94275,                0.87174,                0.80876,                0.85979,                0.52718,                 1.3004,                0.74692,                 1.5513,               0.008482,               0.008482,               0.008482
                     48,                0.66075,                0.41531,                0.95228,                0.89697,                0.80319,                0.86635,                0.53341,                 1.2876,                0.71144,                 1.5082,               0.008449,               0.008449,               0.008449
                     49,                0.64808,                0.40503,                0.93404,                0.86836,                0.78205,                0.83979,                0.52222,                 1.2864,                0.74123,                 1.5178,               0.008416,               0.008416,               0.008416
                     50,                0.63018,                0.39958,                0.92972,                0.85503,                0.80492,                0.85396,                0.53865,                 1.3014,                 0.7143,                  1.526,               0.008383,               0.008383,               0.008383
                     51,                0.63905,                0.39452,                0.93427,                0.83707,                0.83041,                0.84957,                0.52096,                 1.3007,                0.71702,                  1.511,                0.00835,                0.00835,                0.00835
                     52,                0.63852,                0.40469,                0.93255,                0.82433,                0.79818,                0.82661,                0.52767,                 1.2866,                0.74041,                 1.5132,               0.008317,               0.008317,               0.008317
                     53,                0.61936,                0.38767,                0.92497,                0.83894,                0.80446,                0.84819,                0.52879,                  1.301,                0.72404,                 1.5092,               0.008284,               0.008284,               0.008284
                     54,                0.66367,                0.40155,                0.94094,                0.89661,                0.78788,                0.85954,                0.52281,                 1.3213,                 0.7754,                 1.5156,               0.008251,               0.008251,               0.008251
                     55,                0.63801,                0.40547,                0.93646,                0.85226,                0.82412,                0.86104,                0.53193,                 1.2891,                0.74535,                 1.4938,               0.008218,               0.008218,               0.008218
                     56,                0.67798,                0.42085,                 0.9502,                0.84622,                 0.8308,                0.83973,                0.51475,                 1.3011,                0.74968,                 1.5155,               0.008185,               0.008185,               0.008185
                     57,                0.64659,                0.41026,                0.93492,                0.83327,                0.80258,                0.83821,                0.51778,                 1.3206,                0.75986,                 1.5525,               0.008152,               0.008152,               0.008152
                     58,                0.63385,                0.39453,                0.92794,                0.85921,                0.81966,                  0.856,                0.53509,                 1.3264,                0.74402,                 1.5392,               0.008119,               0.008119,               0.008119
                     59,                0.65734,                0.41311,                0.94377,                 0.8589,                0.80138,                0.84975,                0.53303,                  1.319,                 0.7845,                 1.5495,               0.008086,               0.008086,               0.008086
                     60,                 0.6388,                 0.4004,                0.94235,                 0.8875,                0.80665,                0.86438,                0.52679,                 1.3249,                0.77689,                 1.5802,               0.008053,               0.008053,               0.008053
                     61,                0.62802,                0.39917,                0.93372,                0.87517,                0.80119,                0.85826,                0.53753,                 1.3107,                0.74961,                 1.5223,                0.00802,                0.00802,                0.00802
                     62,                0.66109,                0.42067,                0.94523,                0.88224,                0.79103,                0.84932,                0.53501,                 1.3078,                0.74514,                 1.4969,               0.007987,               0.007987,               0.007987
                     63,                0.62589,                0.39402,                 0.9315,                0.84917,                0.80144,                0.82698,                0.53041,                 1.3003,                0.75455,                 1.5194,               0.007954,               0.007954,               0.007954
                     64,                0.64274,                0.40721,                0.93439,                0.85479,                0.82252,                0.84407,                0.53271,                  1.297,                0.72949,                 1.4949,               0.007921,               0.007921,               0.007921
                     65,                0.63398,                0.40006,                0.93372,                0.87627,                0.79929,                0.85671,                0.52125,                 1.3127,                0.73334,                 1.5481,               0.007888,               0.007888,               0.007888
                     66,                0.63512,                0.40764,                0.93799,                0.82099,                0.83553,                0.85846,                 0.5291,                 1.3186,                0.74311,                 1.5784,               0.007855,               0.007855,               0.007855
                     67,                 0.6434,                0.40797,                0.94179,                0.87629,                0.80645,                0.83974,                0.52191,                 1.3108,                0.78439,                 1.5442,               0.007822,               0.007822,               0.007822
                     68,                 0.6405,                0.39855,                0.93287,                0.88733,                0.80654,                0.85028,                0.51985,                 1.3175,                0.73146,                 1.5175,               0.007789,               0.007789,               0.007789
                     69,                0.64861,                0.39255,                0.92455,                 0.8656,                0.81463,                0.84992,                0.51743,                 1.3206,                0.75391,                 1.5308,               0.007756,               0.007756,               0.007756
                     70,                0.62493,                0.38252,                0.92771,                0.88062,                0.79678,                0.84482,                0.51963,                 1.3248,                 0.7605,                 1.5441,               0.007723,               0.007723,               0.007723
                     71,                0.62437,                 0.3866,                0.92128,                0.85208,                 0.7927,                0.84627,                0.52217,                 1.3232,                0.77565,                 1.5615,                0.00769,                0.00769,                0.00769
                     72,                0.61915,                0.38868,                0.92904,                0.79075,                 0.8399,                0.83263,                0.52106,                 1.2987,                0.77367,                 1.5054,               0.007657,               0.007657,               0.007657
                     73,                0.64638,                 0.3946,                0.93567,                0.86797,                0.81284,                0.84944,                0.53381,                 1.2933,                0.74083,                 1.5074,               0.007624,               0.007624,               0.007624
                     74,                0.63851,                0.39997,                0.93514,                0.84375,                 0.8524,                 0.8754,                0.54899,                 1.2938,                0.74108,                 1.5349,               0.007591,               0.007591,               0.007591
                     75,                0.63835,                0.39926,                0.93282,                0.85865,                0.82603,                0.86316,                0.54556,                 1.3241,                0.74921,                  1.505,               0.007558,               0.007558,               0.007558
                     76,                0.63236,                0.39433,                 0.9146,                0.85695,                0.82088,                0.83625,                0.54003,                  1.306,                0.74184,                 1.5026,               0.007525,               0.007525,               0.007525
                     77,                 0.6237,                0.38928,                0.92881,                0.84438,                0.81986,                0.83832,                 0.5348,                  1.286,                0.72306,                 1.4895,               0.007492,               0.007492,               0.007492
                     78,                0.61557,                0.38417,                0.92362,                0.83908,                0.84093,                0.86608,                0.53318,                 1.2886,                0.72109,                 1.4864,               0.007459,               0.007459,               0.007459
                     79,                0.60818,                0.37469,                0.91127,                0.83782,                0.82782,                  0.833,                0.52335,                 1.2979,                0.72227,                 1.5209,               0.007426,               0.007426,               0.007426
                     80,                0.61318,                0.38816,                0.92326,                0.83347,                0.78628,                0.82838,                0.52246,                 1.2858,                0.74796,                 1.5269,               0.007393,               0.007393,               0.007393
                     81,                0.62603,                0.38895,                0.93572,                0.84362,                0.79249,                0.84771,                0.53492,                 1.2671,                0.74227,                 1.4801,                0.00736,                0.00736,                0.00736
                     82,                0.62947,                0.38833,                0.92063,                0.85567,                0.82343,                 0.8451,                0.51901,                 1.3125,                0.72947,                 1.6062,               0.007327,               0.007327,               0.007327
                     83,                0.64122,                0.39379,                0.92737,                0.86239,                0.81537,                0.84722,                0.53486,                 1.3077,                0.77409,                 1.5488,               0.007294,               0.007294,               0.007294
                     84,                0.63017,                0.38941,                0.93525,                0.85618,                0.79542,                0.84306,                0.53841,                 1.2844,                  0.761,                 1.4938,               0.007261,               0.007261,               0.007261
                     85,                0.63389,                0.39226,                0.93037,                0.85866,                0.77355,                0.84214,                0.53526,                 1.3006,                 0.7727,                 1.5089,               0.007228,               0.007228,               0.007228
                     86,                0.61809,                 0.3963,                0.92966,                 0.8399,                0.82269,                 0.8429,                0.53594,                 1.2913,                0.74209,                 1.5469,               0.007195,               0.007195,               0.007195
                     87,                0.60765,                0.38129,                0.92981,                0.85655,                0.83981,                0.86615,                0.53947,                 1.2892,                0.73928,                 1.5322,               0.007162,               0.007162,               0.007162
                     88,                0.60307,                0.37282,                0.91359,                0.80806,                0.82284,                0.83118,                0.53935,                  1.271,                0.75911,                 1.5155,               0.007129,               0.007129,               0.007129
                     89,                0.61708,                0.38335,                0.92344,                0.86464,                0.80018,                0.83056,                0.51723,                 1.3085,                0.76312,                 1.5156,               0.007096,               0.007096,               0.007096
                     90,                0.61176,                0.38212,                0.91977,                0.87155,                0.76176,                0.82288,                0.51352,                 1.3076,                0.75066,                   1.55,               0.007063,               0.007063,               0.007063
                     91,                0.60672,                0.38776,                0.92423,                0.88326,                 0.8035,                0.84285,                 0.5284,                 1.2986,                0.74894,                 1.5368,                0.00703,                0.00703,                0.00703
                     92,                0.58765,                0.36585,                0.91746,                0.88809,                0.82303,                0.85532,                 0.5325,                 1.3006,                0.74208,                 1.5298,               0.006997,               0.006997,               0.006997
                     93,                0.60694,                0.38887,                0.91221,                0.84722,                0.83587,                0.85269,                0.52569,                 1.3059,                0.73836,                 1.5313,               0.006964,               0.006964,               0.006964
                     94,                0.61503,                0.39281,                0.92156,                  0.886,                0.81454,                0.84899,                0.52385,                 1.3018,                 0.7573,                 1.5113,               0.006931,               0.006931,               0.006931
                     95,                0.59968,                0.37747,                0.91149,                0.84747,                0.81539,                0.84737,                0.53226,                 1.2896,                0.74619,                 1.5187,               0.006898,               0.006898,               0.006898
                     96,                0.59655,                0.37672,                0.91134,                0.87703,                0.80893,                0.84441,                0.53217,                 1.3035,                 0.7194,                 1.5675,               0.006865,               0.006865,               0.006865
                     97,                0.60198,                0.37218,                0.92115,                0.87538,                0.80755,                  0.841,                0.52524,                 1.3048,                0.73287,                 1.6049,               0.006832,               0.006832,               0.006832
                     98,                0.61257,                0.38267,                0.92424,                0.85973,                0.81147,                0.83823,                0.52791,                 1.2963,                0.72636,                 1.6086,               0.006799,               0.006799,               0.006799
                     99,                  0.604,                  0.379,                0.92243,                0.84222,                0.81943,                0.83346,                 0.5288,                  1.286,                0.75266,                 1.5984,               0.006766,               0.006766,               0.006766
                    100,                 0.6093,                0.37749,                0.93135,                0.84353,                0.85059,                0.85041,                0.53132,                 1.3037,                0.72112,                 1.6153,               0.006733,               0.006733,               0.006733
                    101,                0.60979,                0.37022,                0.91376,                0.87507,                0.81844,                0.86435,                0.55089,                 1.3063,                0.71826,                 1.5954,                 0.0067,                 0.0067,                 0.0067
                    102,                0.59621,                0.37123,                0.91495,                0.89664,                0.81545,                0.86563,                0.54264,                 1.2794,                0.75069,                 1.5366,               0.006667,               0.006667,               0.006667
                    103,                0.58941,                0.37221,                0.90951,                0.91904,                0.78339,                 0.8654,                0.54355,                 1.2753,                0.72471,                 1.5114,               0.006634,               0.006634,               0.006634
                    104,                 0.5977,                0.37341,                0.91086,                0.91857,                0.80215,                0.85446,                0.53341,                 1.3165,                 0.7293,                 1.5392,               0.006601,               0.006601,               0.006601
                    105,                  0.606,                0.37835,                0.91787,                0.88025,                0.80902,                0.85211,                 0.5215,                 1.3085,                0.74609,                 1.5077,               0.006568,               0.006568,               0.006568
                    106,                0.61449,                0.37228,                0.92167,                0.89707,                0.78524,                0.85054,                0.52154,                 1.3143,                 0.7395,                 1.5635,               0.006535,               0.006535,               0.006535
                    107,                0.61133,                0.37942,                0.92206,                0.91937,                0.80093,                0.86206,                0.53785,                 1.3025,                0.71389,                 1.5199,               0.006502,               0.006502,               0.006502
                    108,                 0.6105,                 0.3651,                0.91659,                0.89655,                0.80749,                0.86052,                0.53924,                 1.3149,                0.73168,                 1.5612,               0.006469,               0.006469,               0.006469
                    109,                0.62569,                0.37611,                0.91745,                 0.8403,                0.80192,                0.84209,                0.52148,                 1.3352,                0.72909,                  1.549,               0.006436,               0.006436,               0.006436
                    110,                0.61884,                0.37539,                0.92501,                0.87948,                0.80238,                0.84585,                0.53727,                 1.2823,                0.72739,                 1.4876,               0.006403,               0.006403,               0.006403
                    111,                0.60216,                0.37147,                0.91581,                0.85506,                0.79084,                0.84403,                0.52159,                  1.311,                0.71734,                 1.5366,                0.00637,                0.00637,                0.00637
                    112,                0.63388,                0.38648,                0.93102,                0.86762,                0.80834,                0.85513,                0.53955,                 1.2806,                 0.7138,                 1.4916,               0.006337,               0.006337,               0.006337
                    113,                0.62933,                0.38141,                0.92626,                 0.8762,                0.76473,                0.83959,                0.53089,                 1.3135,                0.76199,                 1.5201,               0.006304,               0.006304,               0.006304
                    114,                0.61219,                0.37198,                0.92193,                0.88446,                 0.7783,                0.84707,                0.53264,                 1.2748,                0.71824,                 1.4745,               0.006271,               0.006271,               0.006271
                    115,                0.62004,                0.38023,                0.92639,                0.88177,                0.80113,                0.85306,                0.53216,                 1.2913,                0.72528,                   1.49,               0.006238,               0.006238,               0.006238
                    116,                0.62604,                0.38159,                0.93033,                0.84416,                0.80066,                0.85332,                0.54221,                 1.2664,                0.74365,                 1.4465,               0.006205,               0.006205,               0.006205
                    117,                0.58845,                0.36533,                0.91233,                0.85854,                0.78638,                0.83603,                0.52486,                 1.2875,                0.74964,                 1.4909,               0.006172,               0.006172,               0.006172
                    118,                0.58907,                0.36212,                 0.9147,                0.84613,                 0.8279,                0.85972,                 0.5393,                 1.2997,                0.70493,                 1.5646,               0.006139,               0.006139,               0.006139
                    119,                0.60513,                0.37424,                0.92511,                0.83274,                0.82332,                0.85131,                 0.5234,                 1.3158,                0.72077,                 1.5926,               0.006106,               0.006106,               0.006106
                    120,                0.57082,                0.35542,                0.90538,                0.86376,                0.83625,                0.85893,                0.53403,                 1.2815,                0.72207,                 1.5302,               0.006073,               0.006073,               0.006073
                    121,                 0.5912,                0.36459,                0.90475,                0.87238,                0.82352,                0.85817,                0.53214,                 1.2807,                0.73418,                 1.5218,                0.00604,                0.00604,                0.00604
                    122,                 0.5652,                0.34822,                0.89335,                0.88464,                0.78722,                0.84891,                0.52342,                 1.3244,                0.74195,                 1.5387,               0.006007,               0.006007,               0.006007
                    123,                0.56646,                 0.3568,                0.89978,                0.82114,                0.80763,                0.83475,                0.52323,                 1.3002,                0.73794,                 1.5307,               0.005974,               0.005974,               0.005974
                    124,                0.57573,                0.36444,                0.90767,                0.85425,                 0.8076,                  0.835,                0.52064,                 1.3027,                0.73733,                 1.5134,               0.005941,               0.005941,               0.005941
                    125,                0.57905,                0.36311,                0.89695,                0.86935,                0.80388,                0.83419,                 0.5242,                 1.2795,                0.74246,                 1.5246,               0.005908,               0.005908,               0.005908
